,0,1,2,3,4,5,6,7,8,9,10,11,12
0, AU01_r,0.1271219786813827,0.1528592512130606,0.0622913631585334,-0.136556663370575,-0.090688175494074,-0.0976478248250658,-0.0447153606453085,0.0541911735281598,0.2076165570188362,0.0466887661742458,0.0826600765276532,-0.1109595935585268
1, AU02_r,0.0677687548531868,0.1451081709832459,0.1030980263349229,-0.1631073443821753,-0.0449958278202402,-0.036132097215669,0.0437505269210953,0.1110773599677314,0.1421368876626442,0.0457007785951581,-0.0128074821154265,-0.014017609712505
2, AU04_r,-0.839186743504456,0.8827398691566635,-0.8082277386782608,0.2134183108462512,-0.681832590281699,0.35362173513288,0.6117713741537654,-0.2105858223402595,0.2133329433625383,0.0113457227644481,0.5742364895932327,0.6056721378971324
3, AU05_r,-0.0690059166716936,0.0401315408504008,-0.1274971856576253,-0.1458266983952684,0.0338548426924368,-0.0055466827741948,-0.0232355821056668,0.0626958155041487,0.0828427691949838,-0.0253183588724609,-0.0059298634892624,0.1189693670572782
4, AU06_r,0.0326847641528548,0.0428788971040398,0.6553612660592675,0.3711684257419101,0.0176002599166608,-0.0265696981443097,-0.0152420351546711,0.5941094062191655,0.0587510160488114,-0.0579334465696819,0.0386184557249732,0.2841093165053091
5, AU07_r,0.0714838681897965,0.340136361258035,0.5029094101830099,-0.6620822081808388,-0.1995542293443886,0.1700547492021547,0.559523458545123,-0.0486463444211843,0.6683857800273537,-0.5620534850594181,-0.5466204151080942,-0.4207421777068731
6, AU09_r,0.0561171032869846,0.0826322159482271,0.0526471291792026,-0.0362848686793418,0.0757752478454916,0.0758254785022277,-0.0909432969133035,-0.0857650451445822,0.0895958618533346,0.1297276203382561,-0.0207142427742425,0.1253794315204746
7, AU10_r,0.4817768994030776,0.8223088471547302,0.3724329581047965,-0.5335806274487166,0.0189128863308339,,0.2179012538333275,0.6056800245261669,0.0725498337184629,-0.0341598134541273,-0.2182515985469149,-0.1260283391841346
8, AU12_r,0.6158781952792068,0.5794849460321558,0.6567273977835099,-0.0793916007081839,0.0500391732041425,,-0.3291075656872305,0.7483145921180437,0.0164614496867365,0.2223628524789305,-0.0562110249692385,-0.0162695001230446
9, AU14_r,-0.2913714580726404,0.7400759766152297,0.6400302146082584,0.5554103215776457,-0.3290317494682155,,0.5344461998068895,0.5710189003550586,-0.0416791817198372,0.57993925162527,-0.0621912061382608,-0.4016727114863643
10, AU15_r,-0.0597286576181255,0.1476211857379119,0.1916000246227248,0.2323156763084801,-0.078508317076584,-0.0948688378741001,-0.1254971196258603,0.0085539039499247,0.1116232912069312,-0.0334385461248829,-0.1599636149170015,0.254453393688005
11, AU17_r,0.0635877747706678,0.094203480826606,0.0486360465895468,0.0163896369741485,-0.1495091268752335,-0.1653295383528127,-0.3641637394457083,-0.2793369759037464,0.2983183497704867,-0.1069245022750726,-0.1736658678006319,0.1792560503838183
12, AU20_r,-0.0390018562642788,0.0881183043544369,-0.0798391899037526,0.1088341102357288,-0.0011577319875322,-0.1347442205095867,-0.082896754405524,0.0069608706514299,0.0102567529666215,-0.1238394507638069,-0.0141468621398285,-0.0279569037209056
13, AU23_r,-0.0232983347872375,0.0501974809521211,0.1249470499611524,-0.2238435634080392,-0.0330229394691127,-0.2183985087004173,-0.1567653668783387,-0.1247133447146734,0.0789878658997102,0.0039844848180319,-0.0502546013014084,0.0310698867040615
14, AU25_r,0.0001514036385087,0.268601894476451,0.2296176874178455,-0.1547956236894134,0.1043106538194879,-0.1946388019272279,-0.2486556486963416,-0.0829428279477795,0.1893351640038346,-0.0431203398855828,-0.077217214385975,0.1393922356293359
15, AU26_r,0.0747895227338468,0.209988657515005,0.2624529812747539,-0.2412661333447886,0.0803734795577724,-0.2299549151217676,-0.0205349436814587,-0.0627318939617396,0.0643248651404072,-0.0693442206129067,-0.0507093737477636,0.0489876605143111
16, AU45_r,0.0237366457397729,0.1705410942279314,0.0349954679394376,0.0214705896999092,-0.0712445748198158,-0.0080417255985354,-0.0245487236290482,0.0317165796559491,0.2706738826424441,0.078434955700065,-0.0391564522659536,0.0385454586454217
17,label,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
